message_body,is_important_predicted
Office hours are moved to Tuesday morning.,1
Registration for summer school starts next week.,1
Book your hotel now and save big.,1
Quiz 4 will cover Neural Networks and Deep Learning.,1
Please follow the IEEE format for your project report.,1
Get paid to watch advertisements online.,1
The seating chart for the final exam is posted on the door.,1
Get 50% off on all Adobe software.,1
We will review the midterm questions in the next class.,1
Beach party this weekend. Free drinks.,0
The questions for assignment 3 are now available.,1
Get prepared for your job interview with our guide.,1
Dr. Yaghoubzadeh's class is cancelled today.,1
One day trip to Masuleh. Breakfast and lunch included.,1
Tips for preparing for the final exam.,1
Buy your favorite shoes at a discounted price.,0
Register your project team by the deadline.,1
Claim your $100 Amazon gift card now.,1
Quiz 5 will be held on Wednesday.,1
Here is the solution for assignment 1.,1
Simple exercise to lose belly fat in a week.,1
The deadline to withdraw from the course is next week.,1
Save money on your car insurance. Get a quote.,0
Please report any exam schedule conflicts immediately.,1
You must demonstrate your project to the TA.,1
Enter the contest to win a vacation to Hawaii.,1
My office is located in the computer engineering building.,1
Register your kids for our summer camp.,1
There will be no re-take for the missed quiz.,1
Here are some hints for solving assignment 2.,1
